gname	eventid	iyear	imonth	iday	country_txt	region_txt	latitude	longitude	crit1	crit2	crit3	doubtterr	alternative_txt	success	suicide	attacktype1_txt	targtype1_txt	natlty1_txt	nperps	nperpcap	weaptype1_txt	nkill	nkillus	nkillter	nwound	nwoundus	nwoundte	property	propvalue	ishostkid	nhostkid	ransom	galias
Shining Path (SL)	198212180008	1982	12	18	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	7	NA	Firearms	0	NA	NA	0	NA	NA	1	30000	1	0	0	SL
Shining Path (SL)	198501030001	1985	1	3	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198910300004	1989	10	30	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Educational Institution	Peru	NA	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198403230002	1984	3	23	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198307170001	1983	7	17	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Government (General)	Peru	NA	NA	Explosives/Bombs/Dynamite	1	NA	NA	0	NA	NA	1	30000	0	NA	0	SL
Shining Path (SL)	198101000004	1981	1	0	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Telecommunication	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	1e+05	0	NA	0	SL
Shining Path (SL)	198906300003	1989	6	30	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Government (General)	Peru	NA	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198806190005	1988	6	19	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198707130003	1987	7	13	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198307270010	1983	7	27	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Facility/Infrastructure Attack	Business	Germany	NA	NA	Incendiary	NA	NA	NA	NA	NA	NA	1	1200000	0	NA	0	SL
